City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
68,Yarim,YE,2021-10-09 01:20:40,14.298,44.3779,55.67,78,100,9.78
69,Uray,RU,2021-10-09 01:20:41,60.1247,64.7758,40.24,66,70,12.91
70,Hvide Sande,DK,2021-10-09 01:20:41,56.0045,8.1294,52.09,84,59,10.58
71,Gat,IL,2021-10-09 01:20:41,31.61,34.7642,72.39,69,0,4.18
72,Asyut,EG,2021-10-09 01:20:42,27.181,31.1837,71.71,60,0,9.62
73,Banda Aceh,ID,2021-10-09 01:20:42,5.5577,95.3222,81.81,73,100,11.83
74,Atar,MR,2021-10-09 01:20:42,20.5169,-13.0499,89.47,9,99,8.5
75,Dikson,RU,2021-10-09 01:20:43,73.5069,80.5464,28.2,75,100,26.75
76,Saskylakh,RU,2021-10-09 01:20:43,71.9167,114.0833,10.17,99,86,2.62
77,Fairbanks,US,2021-10-09 01:20:27,64.8378,-147.7164,43.14,79,75,4.61
78,Calvinia,ZA,2021-10-09 01:20:43,-31.4707,19.776,48.99,83,84,10.31
79,Shima,CN,2021-10-09 01:20:44,24.4478,117.8111,87.82,73,56,7.38
80,Rundu,NA,2021-10-09 01:20:44,-17.9333,19.7667,71.91,44,2,1.88
81,Bredasdorp,ZA,2021-10-09 01:20:44,-34.5322,20.0403,59.29,77,72,5.75
82,Pangnirtung,CA,2021-10-09 01:20:45,66.1451,-65.7125,34.97,76,100,4.36
83,Atuona,PF,2021-10-09 01:20:45,-9.8,-139.0333,78.01,73,16,13.53
84,Victoria,HK,2021-10-09 01:18:58,22.2855,114.1577,82.45,91,100,1.99
85,Pidhaytsi,UA,2021-10-09 01:20:45,49.2685,25.1334,36.03,56,8,7.36
86,Nabire,ID,2021-10-09 01:16:25,-3.3667,135.4833,86.99,66,62,2.62
87,Avarua,CK,2021-10-09 01:20:41,-21.2078,-159.775,78.85,61,20,6.91
88,Tuktoyaktuk,CA,2021-10-09 01:20:29,69.4541,-133.0374,30.2,93,90,3.44
89,Cape Town,ZA,2021-10-09 01:20:46,-33.9258,18.4232,59.09,82,20,3.44
90,Harrison,US,2021-10-09 01:20:46,30.4091,-89.0436,73.47,84,1,0.0
91,Busselton,AU,2021-10-09 01:20:47,-33.65,115.3333,58.05,51,69,9.4
92,Nelson Bay,AU,2021-10-09 01:20:47,-32.7167,152.15,84.29,56,6,5.93
93,Mar Del Plata,AR,2021-10-09 01:18:40,-38.0023,-57.5575,54.12,72,0,7.0
94,Port Keats,AU,2021-10-09 01:20:47,-14.25,129.55,87.84,56,7,9.86
95,Cabo San Lucas,MX,2021-10-09 01:20:18,22.8909,-109.9124,92.5,45,1,5.75
96,Mount Isa,AU,2021-10-09 01:20:48,-20.7333,139.5,96.57,12,4,14.97
97,Bluff,NZ,2021-10-09 01:20:48,-46.6,168.3333,54.81,58,7,10.96
98,Katherine,AU,2021-10-09 01:20:48,-14.4667,132.2667,91.72,46,6,8.05
99,Tiarei,PF,2021-10-09 01:20:49,-17.5333,-149.3333,84.22,68,26,3.13
100,Klaksvik,FO,2021-10-09 01:20:49,62.2266,-6.589,50.92,98,100,12.84
101,Coquimbo,CL,2021-10-09 01:20:49,-29.9533,-71.3436,55.06,73,0,4.34
102,Cidreira,BR,2021-10-09 01:20:50,-30.1811,-50.2056,63.79,76,100,16.11
103,Guarda,PT,2021-10-09 01:20:50,40.5373,-7.2658,55.78,52,100,2.64
104,Vanino,RU,2021-10-09 01:20:50,49.0869,140.2543,53.29,41,30,8.01
105,Belmonte,BR,2021-10-09 01:20:51,-15.8631,-38.8828,75.7,92,78,7.05
106,Pisco,PE,2021-10-09 01:20:51,-13.7,-76.2167,63.01,82,0,11.5
107,Lorengau,PG,2021-10-09 01:20:51,-2.0226,147.2712,85.64,61,98,7.92
108,Galle,LK,2021-10-09 01:20:52,6.0367,80.217,80.2,82,62,11.27
109,Carnarvon,AU,2021-10-09 01:20:52,-24.8667,113.6333,68.07,45,0,21.85
110,Constitucion,CL,2021-10-09 01:20:52,-35.3333,-72.4167,50.95,77,32,7.47
111,Sabha,LY,2021-10-09 01:20:53,27.0377,14.4283,75.31,18,0,10.98
112,Broome,US,2021-10-09 01:20:53,42.2506,-75.833,65.01,80,1,1.99
113,Arlit,NE,2021-10-09 01:20:53,18.7369,7.3853,81.34,14,0,10.65
114,Severo-Kurilsk,RU,2021-10-09 01:20:54,50.6789,156.125,46.76,79,30,15.41
115,Chapais,CA,2021-10-09 01:17:44,49.7834,-74.8492,53.38,88,31,6.76
116,Ada,US,2021-10-09 01:20:54,43.4166,-116.1262,56.28,91,90,5.01
117,Thurso,GB,2021-10-09 01:20:54,58.5927,-3.5259,59.25,96,100,5.99
118,Whitehorse,CA,2021-10-09 01:20:55,60.7161,-135.0538,39.09,93,90,10.0
119,New Norfolk,AU,2021-10-09 01:20:55,-42.7826,147.0587,61.66,59,98,1.01
120,Ancud,CL,2021-10-09 01:20:55,-41.8697,-73.8203,47.43,89,0,2.53
121,Okhotsk,RU,2021-10-09 01:20:56,59.3833,143.3,31.01,66,4,13.62
122,Caravelas,BR,2021-10-09 01:18:20,-17.7125,-39.2481,74.17,73,95,11.1
123,Vardo,NO,2021-10-09 01:20:56,70.3705,31.1107,37.8,64,100,4.05
124,Vanavara,RU,2021-10-09 01:20:56,60.34,102.2797,35.56,96,100,14.18
125,Sao Joao Da Barra,BR,2021-10-09 01:20:57,-21.6403,-41.0511,68.5,72,100,6.91
126,Komsomolets,KZ,2021-10-09 01:20:15,53.7453,62.0708,37.49,61,0,7.87
127,Parnamirim,BR,2021-10-09 01:20:57,-5.9156,-35.2628,80.49,78,75,12.66
128,Sitka,US,2021-10-09 01:20:58,57.0531,-135.33,46.29,76,90,17.27
129,Gambiran,ID,2021-10-09 01:20:58,-6.7988,111.4951,82.27,60,100,10.94
130,Ribeira Grande,PT,2021-10-09 01:20:58,38.5167,-28.7,69.78,64,67,7.61
131,Necochea,AR,2021-10-09 01:20:58,-38.5473,-58.7368,48.04,83,18,9.44
132,Ostrovnoy,RU,2021-10-09 01:20:59,68.0531,39.5131,36.37,87,100,5.57
133,Sur,OM,2021-10-09 01:20:59,22.5667,59.5289,82.17,49,2,6.15
134,Acapulco,MX,2021-10-09 01:16:27,16.8634,-99.8901,84.02,84,90,2.3
135,Hungund,IN,2021-10-09 01:20:59,16.0667,76.05,72.46,91,100,9.01
136,Porto Novo,BJ,2021-10-09 01:21:00,6.4965,2.6036,80.42,89,100,5.48
137,Santiago Del Estero,AR,2021-10-09 01:21:00,-27.7951,-64.2615,79.32,31,88,16.96
138,Namibe,AO,2021-10-09 01:21:00,-15.1961,12.1522,64.26,76,23,8.08
139,Haines Junction,CA,2021-10-09 01:21:01,60.7522,-137.5108,40.95,65,57,8.05
140,Castro,BR,2021-10-09 01:21:01,-24.7911,-50.0119,57.04,93,100,10.18
141,Portland,US,2021-10-09 01:19:13,45.5234,-122.6762,60.73,66,75,1.01
