City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
65,Nelson Bay,AU,-32.7167,152.15,66.96,70,2,10.94,clear sky,0.0,0.0
66,Butaritari,KI,3.0707,172.7902,81.95,65,86,15.28,overcast clouds,0.0,0.0
67,Nanortalik,GL,60.1432,-45.2371,38.37,79,16,4.09,few clouds,0.0,0.0
68,Norman Wells,CA,65.282,-126.8329,28.44,100,75,4.61,mist,0.0,0.0
69,Baft,IR,29.234,56.6057,63.19,30,1,1.59,clear sky,0.0,0.0
70,Fort Saint James,CA,54.4333,-124.25,43.54,78,100,8.68,overcast clouds,0.0,0.0
71,Kodiak,US,57.79,-152.4072,47.71,57,90,8.05,light rain,0.0,0.0
72,Bluff,NZ,-46.6,168.3333,40.8,88,39,8.95,moderate rain,1.19,0.0
73,College,US,64.8569,-147.8028,37.29,93,40,0.0,light rain,0.4,0.0
74,Awbari,LY,26.5921,12.7805,82.35,12,0,10.02,clear sky,0.0,0.0
75,Acapulco,MX,16.8634,-99.8901,85.82,68,74,6.02,broken clouds,0.0,0.0
76,Walvis Bay,NA,-22.9575,14.5053,70.75,49,17,5.75,few clouds,0.0,0.0
77,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,64,90,13.8,overcast clouds,0.0,0.0
78,Lat Yao,TH,15.751,99.7893,77.49,87,100,4.09,light rain,0.32,0.0
79,Ambilobe,MG,-13.2,49.05,74.43,63,68,8.1,broken clouds,0.0,0.0
80,Surgut,RU,61.25,73.4167,32.18,69,0,8.95,clear sky,0.0,0.0
81,Staryy Cherek,RU,43.4714,43.8469,49.62,76,90,4.47,overcast clouds,0.0,0.0
82,Salalah,OM,17.0151,54.0924,80.33,81,13,3.24,few clouds,0.0,0.0
83,Bredasdorp,ZA,-34.5322,20.0403,60.12,67,10,2.3,clear sky,0.0,0.0
84,Mataura,NZ,-46.1927,168.8643,40.48,96,25,3.0,scattered clouds,0.0,0.0
85,Cabo San Lucas,MX,22.8909,-109.9124,98.51,53,1,1.01,clear sky,0.0,0.0
86,Qaanaaq,GL,77.484,-69.3632,25.86,94,100,14.79,overcast clouds,0.0,0.0
87,Grindavik,IS,63.8424,-22.4338,46.35,93,90,16.11,overcast clouds,0.0,0.0
88,Cherskiy,RU,68.75,161.3,0.46,100,96,4.41,overcast clouds,0.0,0.0
89,Pavlohrad,UA,48.5167,35.8667,49.15,25,100,13.13,overcast clouds,0.0,0.0
90,Dingle,PH,10.9995,122.6711,73.98,95,98,9.78,heavy intensity rain,5.19,0.0
