City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
76,Walvis Bay,,70.75,few clouds,-22.9575,14.5053,Oyster Box Guesthouse
77,Arraial Do Cabo,BR,71.56,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
78,Lat Yao,TH,77.49,light rain,15.751,99.7893,หจก. ลาดยาวการเกษตร
79,Ambilobe,MG,74.43,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
80,Surgut,RU,32.18,clear sky,61.25,73.4167,Business Hotel
81,Staryy Cherek,RU,49.62,overcast clouds,43.4714,43.8469,Montana
82,Salalah,OM,80.33,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
83,Bredasdorp,ZA,60.12,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
84,Mataura,NZ,40.48,scattered clouds,-46.1927,168.8643,Ellie's Villa
85,Cabo San Lucas,MX,98.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
86,Qaanaaq,GL,25.86,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
87,Grindavik,IS,46.35,overcast clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
88,Cherskiy,RU,0.46,overcast clouds,68.75,161.3,Gostinitsa
89,Pavlohrad,UA,49.15,overcast clouds,48.5167,35.8667,Kompleks Stylʹ
90,Dingle,PH,73.98,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
91,Mount Darwin,ZW,81.18,scattered clouds,-16.7725,31.5838,
92,Hovd,MN,32.95,clear sky,48.0056,91.6419,Hotel Khovd
93,Micomeseng,GQ,70.81,light rain,2.1462,10.6164,
94,Miri,MY,82.54,heavy intensity rain,4.4148,114.0089,"Mega Hotel, Miri"
95,Vilyuysk,RU,33.64,overcast clouds,63.7553,121.6247,Gostinitsa Viliuisk
96,Yelkhovka,RU,45.36,clear sky,53.8667,50.2832,Gostinitsa Mayak
97,Anloga,GH,82.62,overcast clouds,5.7947,0.8973,Pin Drop Hotel
98,Jamestown,US,69.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
99,Nikolskoye,RU,53.87,light rain,59.7035,30.7861,Tourist House - Sablino
100,Caravelas,BR,75.6,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
101,Ahipara,NZ,53.92,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
102,Hornbaek,DK,50.99,broken clouds,56.0854,12.4505,Sauntehus Castle Hotel
103,Tessalit,ML,93.34,scattered clouds,20.1986,1.0114,
104,Pundaguitan,PH,83.93,light rain,6.3711,126.1689,Leonardo Family Beach House 1
105,Isabela,PH,79.21,overcast clouds,6.7085,121.9711,Isawad Resort
106,Manoel Urbano,BR,88.36,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
107,Sakaiminato,JP,67.98,few clouds,35.55,133.2333,味処・民宿 まつや
108,Turukhansk,RU,24.94,overcast clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
109,Iracoubo,GF,85.46,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
110,Carcassonne,FR,64.67,overcast clouds,43.25,2.1667,Domaine les Magasins
111,Berlevag,NO,37.56,overcast clouds,70.8578,29.0864,Kvitbrakka
112,Erenhot,CN,39.06,broken clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
113,Nador,MA,73.47,few clouds,35.174,-2.9287,Hôtel La Giralda
114,Kemijarvi,FI,44.51,overcast clouds,66.7131,27.4306,Hotelli Kemijärvi
115,San,ML,94.39,broken clouds,13.3034,-4.8956,Hôtel Teriya
116,Surin,TH,74.73,overcast clouds,14.8818,103.4936,One Fu Hotel
117,Ponta Do Sol,PT,76.71,few clouds,32.6667,-17.1,Hotel do Campo
118,Lata,PT,74.05,broken clouds,40.1629,-8.3327,Casa Maquia
119,Rovaniemi,FI,45.81,overcast clouds,66.5,25.7167,Arctic City Hotel
120,Pevek,RU,23.94,overcast clouds,69.7008,170.3133,Severnoye Zoloto
121,Saint-Pierre,RE,71.28,broken clouds,-21.3393,55.4781,Lindsey Hôtel
122,Yashkul,RU,50.76,overcast clouds,46.1711,45.3435,Bon Voyazh
123,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
124,Yulara,AU,66.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
125,Rawson,AR,72.18,clear sky,-43.3002,-65.1023,Hosteria Sampedro
126,Vila Velha,BR,69.75,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
127,Khandyga,RU,31.24,light snow,62.6667,135.6,Apel'sin
128,Carlos Chagas,BR,77.65,overcast clouds,-17.7031,-40.7664,Minas Hotel
129,Upernavik,GL,29.55,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
130,Nizwa,OM,89.02,clear sky,22.9333,57.5333,Orient Apartments
131,Terrace,CA,48.11,mist,54.5163,-128.6035,Northern Motor Inn
132,Bograd,RU,44.35,overcast clouds,54.2344,90.8328,Gostinitsa Berezka
133,Chokurdakh,RU,0.34,overcast clouds,70.6333,147.9167,
134,Nyurba,RU,35.2,light rain,63.2842,118.3319,Gostinitsa Alrosa
135,Sorata,BO,55.45,overcast clouds,-15.7667,-68.6333,El Encanto Sorata
136,Petropavlovsk-Kamchatskiy,RU,28.99,clear sky,53.0452,158.6483,The Hotel Petropavlovsky
137,Torbay,CA,47.57,light intensity shower rain,47.6666,-52.7314,Gallows Cove
138,Olafsvik,IS,42.24,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
139,Saskylakh,RU,9.72,overcast clouds,71.9167,114.0833,
140,Irbeyskoye,RU,45.59,broken clouds,55.6428,95.4522,"Gostinitsa ""Agul"""
141,Nalut,LY,77.41,clear sky,30.3333,10.85,
142,Zavetnoye,RU,48.0,light rain,47.1194,43.8903,
143,Zastron,ZA,54.84,few clouds,-30.3023,27.084,Highlands Guest House
144,Pisco,PE,68.02,few clouds,-13.7,-76.2167,Hotel San Isidro Oficial
145,Pangnirtung,CA,35.6,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
146,Kachiry,KZ,41.59,scattered clouds,53.0675,76.1036,"Ночной клуб BasMax, Гостиница , Ресторан , Магазин-автозап. сто вулканизатор ,"
147,Karachi,PK,80.42,few clouds,24.9056,67.0822,Sadaat
148,Eten,PE,71.85,clear sky,-6.9081,-79.8642,Hospedaje Sol Radiante
149,Kandiari,PK,89.85,clear sky,26.9156,68.5216,Birohi Tailors
150,Straumen,NO,55.51,overcast clouds,63.8709,11.2999,Jægtvolden Fjordhotell
151,Meadow Lake,US,76.82,clear sky,34.8014,-106.5436,TumbleWeed RV Park
152,Zhigansk,RU,33.76,light rain,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
153,Teknaf,BD,80.04,scattered clouds,20.8624,92.3058,Forestry Guesthouse
154,Thompson,CA,41.16,scattered clouds,55.7435,-97.8558,Burntwood Hotel
155,Kinango,KE,77.11,broken clouds,-4.1372,39.3153,Legacy Hotel
156,Ewa Beach,US,78.1,light intensity drizzle,21.3156,-158.0072,Uncle Junior Robert
157,Nioro,GM,84.69,overcast clouds,13.35,-15.75,
158,Balabac,PH,81.99,light rain,7.9868,117.0645,Sing and Swing Lodge
159,Kruisfontein,ZA,58.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
160,Pochutla,MX,88.83,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
161,Inirida,CO,95.07,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
162,Kaitangata,NZ,40.68,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
163,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
164,Kahului,US,76.84,light rain,20.8947,-156.47,Maui Seaside Hotel
165,Sibolga,ID,78.33,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
166,Sabratah,LY,73.87,overcast clouds,32.7933,12.4885,شقق مفروش شمس الاصيل
167,Janauba,BR,86.32,overcast clouds,-15.8025,-43.3089,Ouro Norte Palace Hotel
168,Kurilsk,RU,52.21,broken clouds,45.2333,147.8833,Hotel Ostrov
169,Biltine,TD,92.23,overcast clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
170,Tual,ID,81.34,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
171,Hammerfest,NO,43.25,light rain,70.6634,23.6821,Skytterhuset
172,Longyearbyen,SJ,19.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
173,Ribeira Grande,PT,73.8,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
174,Victoria,HK,80.58,moderate rain,22.2855,114.1577,Mini Hotel Central
175,Andreapol,RU,38.57,scattered clouds,56.6513,32.2664,Gostevoy Dom Uyut
176,Shelburne,CA,65.23,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
177,Shimoda,JP,67.1,scattered clouds,34.6667,138.95,Shimoda Tokyu Hotel
178,Saldanha,ZA,64.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
179,Poronaysk,RU,47.16,overcast clouds,49.2167,143.1167,Avtovokzal Khostel Stolovaya
180,Basco,PH,83.48,broken clouds,20.4487,121.9702,Nathaniel's Lodge
181,Sungairaya,ID,79.52,broken clouds,0.7,108.9,Mess P.Milu
182,Omboue,GA,77.94,overcast clouds,-1.5746,9.2618,Hotel Olako
183,Tianpeng,CN,64.63,overcast clouds,30.9866,103.9393,Shuangliu Love Home Business Hotel
184,Avarua,CK,69.85,few clouds,-21.2078,-159.775,Paradise Inn
185,La Ciotat,FR,66.56,few clouds,43.1748,5.6045,ibis La Ciotat
186,Dargaville,NZ,54.86,scattered clouds,-35.9333,173.8833,Parkview Motel
187,Bonthe,SL,81.16,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
188,Palkino,RU,42.55,overcast clouds,57.5409,28.0126,
189,Tursunzoda,TJ,58.08,overcast clouds,38.5144,68.2333,Osoishgokhi Tabobati
190,Saint-Nazaire,FR,64.67,clear sky,47.2833,-2.2,HOTEL LE BERRY
191,Cairns,AU,75.15,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
192,Shizuishan,CN,44.06,broken clouds,39.2333,106.7694,Xingji Hotel
193,Maravilha,BR,68.81,light rain,-26.7608,-53.1725,Maravilha Palace Hotel
194,Tromso,NO,48.22,light intensity drizzle,69.6496,18.957,"Radisson Blu Hotel, Tromsø"
195,Ilfracombe,GB,61.92,overcast clouds,51.2093,-4.1134,The Sandy Cove Hotel
196,Bonfim,BR,89.02,broken clouds,3.0833,-59.95,
197,Sosnogorsk,RU,30.63,broken clouds,63.6023,53.8817,Жемчужина
198,Tura,IN,74.03,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
199,Scarborough,GB,61.09,overcast clouds,54.2797,-0.4044,The Grand Hotel Scarborough
200,Sao Filipe,CV,81.86,few clouds,14.8961,-24.4956,Hotel Xaguate
201,Alice Springs,AU,72.95,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
202,Quelimane,MZ,75.15,clear sky,-17.8786,36.8883,Hotel Flamingo
203,Coari,BR,94.15,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
204,Sao Felix Do Xingu,BR,100.2,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
205,Erdenet,MN,29.37,clear sky,49.0333,104.0833,Erdenet hotel
206,Turuvekere,IN,70.54,overcast clouds,13.1642,76.6667,Sri lakshmipriya militari hotel
207,San Patricio,US,87.03,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
208,Bethel,US,66.67,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
209,Labuhan,ID,79.02,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
210,Arshan,RU,48.58,overcast clouds,46.2732,44.22,Guest House The Green Village
211,Khatanga,RU,15.62,overcast clouds,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
212,Yar-Sale,RU,28.83,scattered clouds,66.8333,70.8333,Yalemd
213,Rafai,CF,77.09,overcast clouds,4.95,23.9167,
214,Kharagpur,IN,80.65,few clouds,22.3333,87.3333,Guin Bros Lodge
215,Saint-Joseph,RE,70.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
216,Santa Maria,BR,69.1,broken clouds,-29.6842,-53.8069,Hotel Morotin
217,Hami,CN,44.78,clear sky,42.8,93.45,Laoyutang Resort
218,Dalian,CN,62.53,broken clouds,38.9122,121.6022,Kempinski Hotel Dalian
219,Dikson,RU,29.19,light snow,73.5069,80.5464,
220,Fare,PF,77.61,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
221,Kadyy,RU,45.5,overcast clouds,57.787,43.1903,Отель Русь
222,Port Blair,IN,79.02,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
223,Bayji,IQ,78.01,clear sky,34.9311,43.487,مروان /عدنان
224,Souillac,MU,73.78,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
225,Orje,NO,54.41,broken clouds,59.4802,11.6602,PARKING AND TOILET
226,Bria,CF,77.32,overcast clouds,6.5423,21.9863,
227,Port-Gentil,GA,78.76,light rain,-0.7193,8.7815,Fengshui Residence
228,Kidal,ML,91.38,scattered clouds,18.4411,1.4078,
229,San Cristobal,VE,84.38,few clouds,7.7669,-72.225,Posada Villaven C.A.
230,Dubbo,AU,62.73,scattered clouds,-32.25,148.6167,Comfort Inn Blue Lagoon
231,Vila Do Maio,CV,90.39,clear sky,15.1333,-23.2167,Hotel Marilu
232,Taoudenni,ML,99.09,broken clouds,22.6783,-3.9836,
233,Kavieng,PG,80.26,light rain,-2.5744,150.7967,Nusa Island Retreat
234,Otjimbingwe,,79.59,clear sky,-22.35,16.1333,
235,Castro,BR,56.53,moderate rain,-24.7911,-50.0119,CHACARA BAILLY
236,Tres Passos,BR,63.59,moderate rain,-27.4556,-53.9319,Hotel Imperial
237,Aksarka,RU,28.76,overcast clouds,66.5606,67.7975,
238,Concordia,AR,71.78,few clouds,-31.393,-58.0209,Palmar Hotel Casino
239,Kalmunai,LK,81.68,overcast clouds,7.4167,81.8167,VS Villa
240,Korgen,NO,55.06,light rain,66.0771,13.8153,Huset Cafe & Motell as
241,Bahile,PH,76.35,moderate rain,9.9995,118.7878,Nitivos Beach Resort
242,Apatity,RU,36.01,overcast clouds,67.5641,33.4031,Guest House
243,Salamiyah,SY,76.24,clear sky,35.0113,37.0532,Gondolas Forum grandchildren and grandparents
244,Buta,CD,73.0,light rain,2.7858,24.73,HOTEL BISO NA BISO
245,Girne,CY,76.95,clear sky,35.3417,33.3167,Lavanta Residence
246,Devonport,AU,46.09,few clouds,-41.1667,146.35,Gateway Hotel by Nightcap Plus
247,Luchenza,MW,77.49,scattered clouds,-16.0069,35.3095,Mbumba Lodge
248,Fort Nelson,CA,42.39,scattered clouds,58.8053,-122.7002,The Fort Nelson Hotel
249,Faya,SA,72.12,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
250,Sindal,DK,52.77,overcast clouds,57.4712,10.2031,Paradiset Bed & Breakfast
251,Guerrero Negro,MX,75.96,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
252,Ust-Tsilma,RU,30.31,broken clouds,65.441,52.1498,U Praskov'i
253,Keti Bandar,PK,81.09,clear sky,24.1447,67.4497,Haji laloo memon house
254,Buritis,BR,100.08,scattered clouds,-15.6178,-46.4233,Hotel Rainha do Vale
255,Kiama,AU,67.57,broken clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
256,Dong Hoi,VN,78.64,overcast clouds,17.4833,106.6,Nam Long Hotel
257,Batagay-Alyta,RU,19.62,overcast clouds,67.8006,130.4114,
258,Faanui,PF,77.81,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
259,Lorengau,PG,81.12,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
260,Coelho Neto,BR,92.66,broken clouds,-4.2567,-43.0128,Hotel Tejof
261,Severo-Kurilsk,RU,43.29,scattered clouds,50.6789,156.125,Kak Doma
262,Hamilton,US,81.5,scattered clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
263,Sainte-Marie,RE,71.76,broken clouds,-20.8968,55.5496,Les pailles en queue de Sainte Marie
264,Buin,CL,76.05,clear sky,-33.7333,-70.75,Paihuen
265,Trairi,BR,85.87,broken clouds,-3.2778,-39.2689,janelas do mar
266,Henties Bay,,59.86,scattered clouds,-22.116,14.2845,Fishermans Guest House
267,Sur,OM,84.36,clear sky,22.5667,59.5289,Sur Plaza Hotel
268,Hof,DE,49.12,clear sky,50.3167,11.9167,Hotel Burghof
269,Portland,US,57.42,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
270,General Roca,AR,81.0,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
271,Artyom,AZ,59.14,few clouds,40.4723,50.333,Merdan Respect
272,Diplo,PK,84.79,clear sky,24.4667,69.584,Mukhi Ahmed Ali Residency
273,Galiakot,IN,81.99,broken clouds,23.5167,74.0,Galiakot
274,Alta Floresta,BR,91.22,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
275,Onega,RU,40.24,overcast clouds,63.9061,38.1404,Lunny Kot Guest House
276,Khasan,RU,63.5,light rain,42.4308,130.6434,
277,San Ramon De La Nueva Oran,AR,67.66,overcast clouds,-23.1322,-64.326,Hotel Residencial Centro
278,Nome,US,36.16,scattered clouds,64.5011,-165.4064,Dredge 7 Inn
279,Quatre Cocos,MU,73.51,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
280,Clyde River,CA,35.42,scattered clouds,70.4692,-68.5914,Qamaq Hotel
281,Cordoba,AR,76.6,clear sky,-31.4135,-64.1811,Hotel Sussex
282,Ostrovnoy,RU,35.67,overcast clouds,68.0531,39.5131,
283,Auka,HN,89.8,broken clouds,14.9333,-83.8333,
284,Ambon,ID,79.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
285,Jawhar,SO,77.97,scattered clouds,2.7809,45.5005,hantiwadaag village part one
286,Coruripe,BR,81.41,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
287,Hualmay,PE,68.09,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
288,Verkhnyaya Inta,RU,27.34,scattered clouds,65.9811,60.3094,
289,Russellville,US,90.14,broken clouds,35.2784,-93.1338,Hampton Inn Russellville
290,Rio Grande,BR,68.11,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
291,Ancud,CL,63.93,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
292,Killybegs,IE,55.11,clear sky,54.6333,-8.45,Tara Hotel
293,Luderitz,,66.18,few clouds,-26.6481,15.1594,LÜDERITZ NEST HOTEL
294,Muros,ES,71.83,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
295,Buraydah,SA,90.05,clear sky,26.326,43.975,فندق راحة السلام
296,Broome,US,67.08,broken clouds,42.2506,-75.833,Chenango Valley State Park
297,Kathu,TH,83.7,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
298,Kroya,ID,79.2,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
299,Sabang,ID,82.4,overcast clouds,5.8933,95.3214,Hotel Citra
300,Southbridge,US,64.13,overcast clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
301,Marawi,PH,65.64,overcast clouds,7.9986,124.2928,Derogongan Residence
302,Isangel,VU,70.29,scattered clouds,-19.55,169.2667,Tanna Lodge
303,Shiyan,CN,60.64,light rain,32.6475,110.7781,Fenghuang Garden Holiday Hotel
304,Ganzhou,CN,73.98,overcast clouds,28.8184,115.4327,Laotou Farm Restaurant Hostel
305,Gwadar,PK,82.26,clear sky,25.1216,62.3254,Sadaf Resort
306,Puerto Ayacucho,VE,89.76,scattered clouds,5.6639,-67.6236,Posada Turistica Manapiare
307,Bambous Virieux,MU,73.65,light rain,-20.3428,57.7575,Casa Tia Villa
308,Fortuna,US,62.37,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
309,Jalingo,NG,79.93,overcast clouds,8.8833,11.3667,Debright Motel
310,Goderich,CA,72.03,moderate rain,43.7501,-81.7165,Harmony Inn
311,Guijalo,PH,78.37,overcast clouds,13.7373,123.868,LBB Ricardo's Inn Unit A
312,Nchelenge,ZM,82.08,clear sky,-9.3451,28.734,KD Travellers Home
313,Praya,CV,90.14,clear sky,14.9215,-23.5087,LT Aparthotel
314,Chapais,CA,65.98,broken clouds,49.7834,-74.8492,Hôtel Opémiska
315,Provideniya,RU,28.18,broken clouds,64.3833,-173.3,
316,Nabire,ID,77.13,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
317,Bonavista,CA,46.11,light rain,48.6499,-53.1147,Abbott's Bed & Breakfast
318,Te Anau,NZ,39.92,scattered clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
319,Puerto Leguizamo,CO,93.6,scattered clouds,-0.1934,-74.7819,la casona de juancho
